
No.	Species	Recording ID	Source link
1	Asian Koel	XC1101779	https://xeno-canto.org/1101779
2	Blue Jay	XC545364	https://xeno-canto.org/545364
3	Eurasian Owl	XC1077912	https://xeno-canto.org/1077912
4	Grey Go-away	XC1059238	https://xeno-canto.org/1059238
5	House Crow	XC1104271	https://xeno-canto.org/1104271
6	House Sparrow	XC1092251	https://xeno-canto.org/1092251
7	Indian Peafowl	XC1085991	https://xeno-canto.org/1085991
8	Mallard Duck	XC999260	https://xeno-canto.org/999260
9	Red-wattled Lapwing	XC1094455	https://xeno-canto.org/1094455
10	Western Wood Pewee	XC546137	https://xeno-canto.org/546137

